number_documents,total_words_documents,long_words,long_extractive_words_ratio,long_compression_ratio,short_words,short_extractive_words_ratio,short_compression_ratio,long_to_short_extractive_words_ratio,long_to_short_compression_ratio,tiny_words,tiny_extractive_words_ratio,tiny_compression_ratio
4,4897,281,0.7686832740213523,17.427046263345197,92.0,0.7608695652173914,53.22826086956522,0.9239130434782609,3.0543478260869565,,,
4,23805,316,0.8765822784810127,75.33227848101266,33.0,0.9090909090909091,721.3636363636364,0.8484848484848485,9.575757575757576,,,
3,6522,360,0.8833333333333333,18.116666666666667,,,,,,,,
13,58302,363,0.928374655647383,160.61157024793388,52.0,0.9615384615384616,1121.1923076923076,0.5769230769230769,6.980769230769231,,,
6,15612,747,0.8540829986613119,20.899598393574298,75.0,0.88,208.16,0.96,9.96,,,
3,13607,553,0.9059674502712477,24.605786618444846,113.0,0.8849557522123894,120.41592920353982,0.7522123893805309,4.893805309734513,,,
4,8391,311,0.8617363344051447,26.980707395498392,105.0,0.8857142857142857,79.91428571428571,0.8285714285714286,2.961904761904762,,,
6,41651,481,0.9272349272349273,86.5925155925156,88.0,0.9772727272727273,473.3068181818182,0.9545454545454546,5.465909090909091,19.0,0.8947368421052632,2192.157894736842
5,44043,793,0.9306431273644389,55.539722572509454,115.0,0.9304347826086956,382.9826086956522,0.8434782608695652,6.895652173913043,24.0,0.875,1835.125
5,18257,266,0.8082706766917294,68.63533834586467,,,,,,,,
3,6655,100,0.69,66.55,,,,,,,,
29,594541,1961,0.9668536460989291,303.18255991840897,126.0,0.9603174603174603,4718.579365079365,0.8809523809523809,15.563492063492063,,,
14,72034,1037,0.9508196721311475,69.46383799421407,127.0,0.9606299212598425,567.1968503937007,0.8976377952755905,8.165354330708661,33.0,0.9696969696969697,2182.848484848485
5,20995,311,0.7942122186495176,67.50803858520901,72.0,0.8472222222222222,291.59722222222223,0.9444444444444444,4.319444444444445,,,
6,27574,414,0.8019323671497585,66.60386473429952,65.0,0.9230769230769231,424.2153846153846,0.8769230769230769,6.369230769230769,,,
12,59774,421,0.9501187648456056,141.9809976247031,70.0,0.9857142857142858,853.9142857142857,0.8428571428571429,6.014285714285714,,,
13,64177,546,0.9358974358974359,117.54029304029304,,,,,,,,
15,72129,940,0.925531914893617,76.73297872340426,170.0,0.9352941176470588,424.28823529411767,0.8823529411764706,5.529411764705882,,,
4,5874,150,0.8066666666666666,39.16,,,,,,,,
6,36242,761,0.9290407358738502,47.62417871222076,56.0,0.9642857142857143,647.1785714285714,0.8571428571428571,13.589285714285714,,,
3,3386,154,0.7272727272727273,21.98701298701299,,,,,,,,
6,35928,544,0.9007352941176471,66.04411764705883,78.0,0.9230769230769231,460.61538461538464,0.8205128205128205,6.9743589743589745,19.0,0.7894736842105263,1890.9473684210527
6,31902,374,0.9117647058823529,85.29946524064171,113.0,0.9469026548672567,282.3185840707965,0.9380530973451328,3.309734513274336,,,
3,3559,106,0.7641509433962265,33.575471698113205,,,,,,,,
21,47608,619,0.8869143780290791,76.91114701130856,168.0,0.8869047619047619,283.3809523809524,0.7380952380952381,3.6845238095238093,,,
5,16867,197,0.8934010152284264,85.61928934010152,,,,,,,,
7,8955,170,0.7058823529411765,52.6764705882353,,,,,,,,
8,41212,527,0.9468690702087287,78.2011385199241,84.0,0.9761904761904762,490.6190476190476,0.9642857142857143,6.273809523809524,20.0,0.9,2060.6
7,27031,841,0.9108204518430439,32.14149821640904,126.0,0.9523809523809523,214.53174603174602,0.9285714285714286,6.674603174603175,34.0,0.9117647058823529,795.0294117647059
3,9729,211,0.8104265402843602,46.10900473933649,62.0,0.8387096774193549,156.91935483870967,1.0,3.403225806451613,,,
5,69555,704,0.8948863636363636,98.7997159090909,49.0,0.9591836734693877,1419.4897959183672,0.8367346938775511,14.36734693877551,,,
