,gold_sents,pegasus_output_sents
0,"The plaintiffs filed a lawsuit on March 8, 2014, alleging that the City of Montgomery, Alabama, improperly imprisoned them for failing to pay traffic fines.[SENTMARKER]They alleged that they did not have an ability to pay the fines due to their financial circumstances and that the city did not consider their ability to pay.[SENTMARKER]On May 1, 2014, the District Court granted the plaintiffs motion for a preliminary injunction, preventing the city from collecting more money from traffic tickets of plaintiffs'.[SENTMARKER]On October 31, 2014 the parties filed to dismiss the case pursuant to a settlement agreement, which included numerous changes to Municipal Court proceedings.[SENTMARKER]The case is now closed.","This is a class-wide civil rights action brought in the U.S. District Court for the Middle District of Alabama against the City of Montgomery and Judicial Correction Services, Inc. (JCS), a private for-profit corporation, for violating the Fourteenth Amendment due process and equal protection provisions of the United States Constitution by charging appeal bonds to those who could not afford to pay their traffic ticket fees, costs, and surcharges immediately.[SENTMARKER]The plaintiffs alleged that the defendants violated their due process rights by imprisoning them when they could not pay their debt and by automatically converting monetary fines into days in jail at a rate of $50 per day.[SENTMARKER]The case was dismissed with prejudice on November 17, 2014.[SENTMARKER]The parties entered into a settlement agreement in which the defendants agreed to change their policies and practices and to refund the plaintiffs their outstanding fines.[SENTMARKER]The parties also agreed that no one will be jailed again in the future for the inability to pay a $50 fine.[SENTMARKER]The settlement agreement is subject to court approval."
1,"In 2013, indigent detainee filed a complaint against the City of Montgomery and a Municipal Court Judge for unconstitutionally ordering the petitioner to serve time for her inability to pay court-order fines and fees for their traffic violations.[SENTMARKER]The complaint was originally filed in the Circuit Court of Montgomery County, Alabama and then transferred to the U.S. District Court for the Middle District of Alabama, where it was consolidated with a similar case.[SENTMARKER]In the amended complaint, petitioners alleged that the imprisonment orders violated their Sixth and Fourteenth Amendment Rights.[SENTMARKER]Petitioners sought remedy through injunctive and declaratory relief.[SENTMARKER]In 2014, the parties reached a settlement that provided new judicial procedures for the Municipal Court to follow regarding indigent defendants and nonpayment.[SENTMARKER]It also included three declarations, most importantly, it declared that the constitutional principles set out in Bearden v. Georgia, 461 U.S. 660 (1983), and Turner v. Rogers, 131 S. Ct. 2507 (2011) applied to municipal court proceedings, and awarded plaintiff's attorney fees.[SENTMARKER]The case closed in November 2014.","On August 28, 2013, a Montgomery resident filed this suit in the U.S. District Court for the Middle District of Alabama against the City of Montgomery, the Montgomery Municipal Court, and Judicial Correction Services, a private probation company, alleging that the defendants violated her rights to due process and equal protection under the Fourteenth Amendment and the Alabama Civil Rights Act.[SENTMARKER]The defendants' policy was to charge court costs on every individual ticket, as was done in Plaintiff’s cases, even if multiple tickets arise from the same incident.[SENTMARKER]The plaintiffs alleged that they were jailed for their inability to pay outstanding fines, fees, and costs because they were too poor to pay Montgomery city traffic-ticket fines and associated court costs, as required by the Alabama Rules of Criminal Procedure.[SENTMARKER]The district court granted the defendants' motion for declaratory and injunctive relief and ordered the defendants to pay the plaintiffs' attorney's fees and costs.[SENTMARKER]The case was closed on November 17, 2014 and the parties entered an Agreed Settlement Order.[SENTMARKER]The parties agreed to the following terms:  The defendants will not enforce the terms of the agreement until the case is closed.[SENTMARKER]In the event that the parties do not reach a settlement agreement, the case will be dismissed."
2,"A prisoner facing the death penalty in Arkansas sued over the form of lethal injection used by the state.[SENTMARKER]The case was dismissed because of a lack of evidence that Arkansas's use of lethal injections subjected prisoners to a significant risk of pain.[SENTMARKER]The case is closed, and one of the three plaintiffs was executed in 2017.","DATE | ORG | LAW ||| DATE | DATE ||| LAW | DATE [CONTRACTED] On May 1, 2006, four Arkansas death row inmates brought this action under 42 U.S.C.  1983 challenging the constitutionality of the State’s lethal injection protocol for execution by lethal injection.[SENTMARKER]The plaintiffs claimed that the protocol creates a significant risk of inflicting severe pain in the administration of the death sentence, and that the State's use of this protocol demonstrates deliberate indignities to the plaintiffs' serious medical needs.[SENTMARKER]The district court granted a stay of execution in order to allow the plaintiffs to litigate their challenge to the state's protocol for lethal injection, and the case was dismissed on June 19, 2006.[SENTMARKER]On August 9, 2007, the district court ordered the case consolidated with a similar lawsuit filed by Don William Davis, a death row inmate.[SENTMARKER]The defendants moved to dismiss the case on the day prior to filing for summary judgment.[SENTMARKER]The parties referred to the set of execution instructions he has developed as the basis for the dismissal of the case.[SENTMARKER]On April 16, 2008, the Supreme Court of the United States issued its decision in Baze v. Kentucky, in which it upheld the Kentucky lethal injection protocols.[SENTMARKER]On May 22, 2008, the parties moved to reopen their case and the court granted the defendants' motion for summary judgement.[SENTMARKER]On June 4, 2008, the court dismissed the case without prejudice.[SENTMARKER]The case is now closed and the parties have appealed."
3,"On August 23, 2018, three Maricopa County, Arizona residents who have been referred to Maricopa County's Marijuana Diversion program filed this class action lawsuit in the U.S. District Court for the District of Arizona, Phoenix Division.[SENTMARKER]The plaintiffs sought injunctive and monetary relief, claiming that the Maricopa County Attorney's Office and Treatment Assessment Screening Center jointly operated a marijuana possession diversion program that discriminated against the poor in violation of the Fourteenth Amendment, and led to unreasonable search and seizure in violation of the Fourth and Fourteenth Amendments.[SENTMARKER]The plaintiffs amended their complaint twice to include new named plaintiffs for the class.[SENTMARKER]The District Court denied the defendant's motions to dismiss the complaint, and discovery is ongoing both for class certification and the underlying claims.","On August 23, 2018, a class action was brought in the U.S. District Court for the District of Arizona against the Maricopa County Attorney's Office (MCAO) and the Treatment 23 Assessment Screening Center (TASC) for violating the Fourth and Fourteenth Amendments of the United States Constitution.[SENTMARKER]The plaintiffs alleged that the defendants violated the plaintiffs' rights to due process and due process by denying them access to a marijuana diversion program that penalizes the poor because of their poverty.[SENTMARKER]According to the complaint, the defendants denied the plaintiffs access to the diversion program because they could not afford to pay the program fees.[SENTMARKER]The court granted the class plaintiffs' motion for class certification and ordered the defendants to pay monetary and injunctive relief.[SENTMARKER]The case is now closed."
4,"On March 8, 2006, the Pacific News Service filed a lawsuit under 42 U.S.C. § 1983 against the California Department of Corrections in the U.S. District Court for the Northern District of California.[SENTMARKER]The plaintiffs asked the court for declaratory and injunctive relief, alleging that the defendants had violated the constitutional rights of the press and the public to attend, meaningfully observe, and gather and report on important information at executions being carried out by the defendants at the California State Prison at San Quentin.[SENTMARKER]On May 30, 2013, the issue in this case became moot due to a state court decision.[SENTMARKER]In Sims v. California Department of Corrections and Rehabilitation (CDCR), the California Court of Appeals held that CDCR’s lethal injection regulations were invalid for failure to comply with the APA.[SENTMARKER]The court permanently enjoined CDCR from carrying out the execution of any condemned inmate by lethal injection until their new regulations complied with the Administrative Procedure Act.[SENTMARKER]This case closed after a voluntary dismissal filed by the plaintiff organization.","On January 13, 2006, Pacific News Service (PNS) filed this suit in the U.S. District Court for the Northern District of California against the California Department of Corrections and Rehabilitation (CDCR) alleging that the inclusion of pancuronium bromide in San Quentin's lethal injection protocol violated the First and Fourteenth Amendments of the United States Constitution.[SENTMARKER]PNS alleged that the use of the 23 second drug in the lethal injection cocktail paralyzes all movement of the inmate's voluntary muscle fibers.[SENTMARKER]The parties agreed, however, that one intended purpose and effect of the drug is to induce paralysis.[SENTMARKER]The case is not a challenge to the death penalty or to all lethal-injection executions, but rather the drug's use to conceal from the public possible manifestations of pain or other important information.[SENTMARKER]On February 10, 2006, the 2 Court consolidated the two cases, and the parties agreed that the case should be dismissed without prejudice.[SENTMARKER]On August 29, 2010, the court ordered the CDCR to turn over its supply of sodium thiopental to the FDA.[SENTMARKER]The CDCR filed a motion to dismiss the case, claiming that it had complied with California’s 12 Administrative Procedures Act and that the Lethal Injection Regulations became final on 13 August 29, 2010.[SENTMARKER]The court denied the motion, but the case is ongoing."
5,"This civil rights class action was filed in 2012 in the Eastern District of California; it alleged due process violations when the state arbitrarily denied parole to nearly all lifers who had served their minimum sentence.[SENTMARKER]On October 2, 2015, the parties entered into an agreement by which the defendants agreed to make changes to the psychological risk assessment processes used by the parole board.[SENTMARKER]The Court approved the settlement in May 2016, and retained jurisdiction over the case until January 1, 2017, with the plaintiffs' able to get an extension of the Court's jurisdiction if the defendants fail to abide by the agreed upon terms.[SENTMARKER]In February of 2019, the court issued an order stating that the defendants had complied with the order.[SENTMARKER]The case is now closed.","On April 20, 2012, a class action was filed in the U.S. District Court for the Eastern District of California against the California Board of Parole Hearings (BPH), the Executive Officer of the BPH, and the Secretary of the California Department of Corrections and Rehabilitation.[SENTMARKER]The plaintiffs alleged that the Board's forensic assessment protocols for the preparation of psychological risk assessment reports to be considered in 23 determining prisoners' suitability for parole were unconstitutional.[SENTMARKER]The parties entered into a settlement agreement in May 2015 to address the plaintiffs' claims for declaratory and injunctive relief.[SENTMARKER]The court approved the settlement on May 26, 2016.[SENTMARKER]The parties filed a joint status report on July 17, 2015, informing the court of substantial progress in settlement negotiations.[SENTMARKER]On August 11, 2015, the parties filed an amended motion for preliminary approval of the settlement agreement, which was approved by the court on August 11, 2016.[SENTMARKER]The court granted the parties' motion for summary judgment on the claims of the class and denied the motion for class certification.[SENTMARKER]The case is now closed."
6,"In October 2018, a plaintiff sued Denver over its bond fee requirement.[SENTMARKER]Within a few months, the defendants changed their policy and submitted an Offer of Judgment.[SENTMARKER]The case is now closed.","DATE | ORG ||| LAW ||| DATE ||| CIVIL AFFECTIVE ||| ORG [CONTRACTED] This case was brought in the U.S. District Court for the District of Colorado against the City and County of Denver, Colorado, and the Denver Sheriff's Office on behalf of a man who was arrested for alleged violations of municipal ordinances.[SENTMARKER]The plaintiff was detained in jail for five days because he could not pay a $50 bond fee.[SENTMARKER]The court ordered the defendant to be released upon his payment of $10 and his submission to GPS monitoring.[SENTMARKER]The defendant refused to release the defendant on the conditions set by the court.[SENTMARKER]The district court dismissed the case, finding that the defendant had violated the defendant's due process rights.[SENTMARKER]The case was transferred to the Colorado Court of Appeals for the 10th Circuit for further proceedings.[SENTMARKER]The Colorado Freedom Fund, a non-profit bail fund, paid the required $50 fee and secured the release."
7,"In 2012, U.S. District Court of D.C. found that the policy of seizing and retaining private vehicles pending civil forfeiture proceedings without providing a post-deprivation hearing was unconstitutional.","On May 1, 2012, a Washington, D.C. resident filed this civil rights action in the U.S. District Court for the District of Columbia, alleging that the District's policy of seizing private vehicles and retaining them indefinitely pending potential civil forfeiture proceedings violated his Fifth Amendment due process rights.[SENTMARKER]The complaint alleged that the defendants failed to provide a prompt post-deprivation hearing at which the owner could challenge the legitimacy of the initial seizure and the validity of the continued retention of the vehicle pending any forfeiture litigation.[SENTMARKER]The parties agreed to dismiss this action with prejudice, and each party will bear its own costs and attorneys' fees."
8,"On May 23, 2018, four individuals who had been ticketed or threatened to be ticketed by the City of Doraville filed this lawsuit in U.S. District Court for the Northern District of Georgia.[SENTMARKER]The case was assigned to Judge Richard W. Story.[SENTMARKER]Represented by Strickland Brockington Lewis, LLP, and the Institute for Justice, the plaintiffs sued the City of Doraville under 42 U.S.C. Section 1983 and the Declaratory Judgments Act.[SENTMARKER]The plaintiffs alleged that the city’s policy and practice of using its law enforcement and municipal court system for revenue generation violated the plaintiffs' due process rights.[SENTMARKER]The plaintiffs sought declarative and injunctive relief from Doraville’s policy and practice of budgeting to receive revenues from fines and fees.[SENTMARKER]The defendant sought to dismiss the case on July 2, 2018; the court denied the motion to dismiss on July 9, 2019.[SENTMARKER]This case is ongoing.","DATE | ORG ||| LAW ||| DATE ||| CIVIL ||| ORG||| DATE|| DATE [CONTRACTED] On July 10, 2020, the City of Doraville, Georgia was sued in the U.S. District Court for the Northern District of Georgia by four individuals who were cited or ticketed in the City's municipal court system.[SENTMARKER]The plaintiffs alleged that the city's practice of using its law enforcement system to collect revenue from fines, fees, and forfeitures violated their Fourteenth Amendment rights.[SENTMARKER]The City moved to dismiss the case, arguing that the Court lacked subject matter jurisdiction and that the plaintiffs failed to state a claim as a matter of law.[SENTMARKER]The Court denied the motion for summary judgment, finding that it did indeed have jurisdiction.[SENTMARKER]The case is now before the Court again, and the parties are scheduled to appear for a hearing on September 4, 2020."
9,"On May 22, 2012, several national and local news agencies filed a § 1983 lawsuit against the state of Idaho, alleging that the policy of the Idaho Department of Correction to prohibit public viewing of the preparatory phase of the execution process, during which the inmate is restrained and the IV is inserted, violates the First Amendment right to free speech and the Fourteenth Amendment right to due process.[SENTMARKER]The District Court denied plaintiffs' motion for a preliminary injunction on June 5, 2012, but the Ninth Circuit reversed the denial, on June 8, in time for the injunction to apply to the scheduled execution of Richard Leavitt.[SENTMARKER]On July 10, the District Court entered a permanent injunction ordering the Idaho Department of Corrections to modify their execution procedures to allow witnesses to the execution throughout the entire execution process.","On May 22, 2012, a coalition of media corporations filed this lawsuit in the U.S. District Court for the District of Idaho against the State of Idaho, the Idaho Department of Corrections (IDOC), and the Governor of the State, seeking a preliminary injunction, a permanent injunction, and declaratory relief in response to alleged First Amendment violations by the IDOC for the execution of a death row inmate.[SENTMARKER]The complaint alleged that IDOC's execution procedures prevent uninhibited viewing of the entire execution of the condemned inmate.[SENTMARKER]On June 5, 2012, the parties entered into a Stipulation which requested that the parties submit a joint litigation plan for the Court's consideration to allow for discovery and a full evidentiary hearing on the request for permanent injunctive relief.[SENTMARKER]The parties agreed to a settlement in which IDOC agreed to implement a single lethal dose of pentobarbital through the IV instead of the three-drug series that was used for the November 18, 2011 execution of Paul Rhoades.[SENTMARKER]The court granted the parties' request for expedited briefing and ordered the parties to participate in mediation with Chief United States Magistrate Judge Candy W. Dale, who denied the motion for a temporary injunction.[SENTMARKER]On July 10, 2012 the parties filed a motion for summary judgment, which was granted by the Court of Appeals for the Ninth Circuit.[SENTMARKER]The case is now closed."
