,gold_sents,pegasus_output_sents,oreo_pegasus_output_sents
0,"The plaintiffs filed a lawsuit on March 8, 2014, alleging that the City of Montgomery, Alabama, improperly imprisoned them for failing to pay traffic fines.[SENTMARKER]They alleged that they did not have an ability to pay the fines due to their financial circumstances and that the city did not consider their ability to pay.[SENTMARKER]On May 1, 2014, the District Court granted the plaintiffs motion for a preliminary injunction, preventing the city from collecting more money from traffic tickets of plaintiffs'.[SENTMARKER]On October 31, 2014 the parties filed to dismiss the case pursuant to a settlement agreement, which included numerous changes to Municipal Court proceedings.[SENTMARKER]The case is now closed.","In 2014, two residents of Montgomery, Alabama, filed a class action lawsuit against the City, alleging that the City violated their due process rights by imprisoning them when they could not afford to pay a debt owed to the City from traffic tickets.[SENTMARKER]The plaintiffs alleged that the defendants used a private for-profit corporation, Judicial Correction Services, Inc., to perform what the City calls ""probation"" services, which consists of collecting City debts in exchange for fees added to the debts owed by people who cannot afford to make their traffic ticket fees, costs, and surcharges immediately.[SENTMARKER]The parties stipulate that the plaintiffs' request for class-wide relief in connection with any count was dismissed with prejudice.","On January 26, 2014, a Montgomery resident and her two children filed this lawsuit against the City of Montgomery in the United States District Court for the Middle district of Alabama.[SENTMARKER]The Plaintiff, Sharnlle Mitchell, and her children, Matthew Scott Swerdlin and Christopher Brown, alleged that the City was violating the Constitution by ordering them to pay the City immediately or to ""sit out"" their debt in the City jail at a rate of $50 per day.[SENTMARKER]The City's policy is to assess fines, costs, surcharges, and additional fees upon a finding of a traffic violation.[SENTMARKER]The plaintiffs claimed that they could reduce their time in jail by working off their debts for an additional $25 per day if they agreed to perform janitorial tasks assigned by City employees, including cleaning feces and blood from jail floors and wiping the jail bars inside their overcrowded cells.[SENTMARKER]The Court granted the plaintiffs' motion for declaratory and injunctive relief and ordered the City to comply with the following provisions: payment of debts from traffic tickets and to conduct an inquiry into their ability to pay prior to jailing them for non-payment."
1,"In 2013, indigent detainee filed a complaint against the City of Montgomery and a Municipal Court Judge for unconstitutionally ordering the petitioner to serve time for her inability to pay court-order fines and fees for their traffic violations.[SENTMARKER]The complaint was originally filed in the Circuit Court of Montgomery County, Alabama and then transferred to the U.S. District Court for the Middle District of Alabama, where it was consolidated with a similar case.[SENTMARKER]In the amended complaint, petitioners alleged that the imprisonment orders violated their Sixth and Fourteenth Amendment Rights.[SENTMARKER]Petitioners sought remedy through injunctive and declaratory relief.[SENTMARKER]In 2014, the parties reached a settlement that provided new judicial procedures for the Municipal Court to follow regarding indigent defendants and nonpayment.[SENTMARKER]It also included three declarations, most importantly, it declared that the constitutional principles set out in Bearden v. Georgia, 461 U.S. 660 (1983), and Turner v. Rogers, 131 S. Ct. 2507 (2011) applied to municipal court proceedings, and awarded plaintiff's attorney fees.[SENTMARKER]The case closed in November 2014.","On August 28, 2013, a woman filed this suit in the Circuit Court of Montgomery County against the City of Montgomery and the Montgomery Municipal Court, alleging that she was ordered to be incarcerated in the municipal jail because she was too poor to pay her traffic ticket fines and associated court costs.[SENTMARKER]The suit alleged that the order violated her constitutional rights to due process, equal protection, and due process.[SENTMARKER]The defendants agreed to stay the orders of incarceration and the collection of outstanding debts pending discovery and collection of all amounts owed by the plaintiffs during the course of this federal litigation.[SENTMARKER]The case is closed.","On August 28, 2013, a resident of Montgomery, Alabama, filed this suit against the City and the Montgomery Municipal Court, alleging that the defendants were violating the due process and equal protection clauses of the Sixth Amendment by ordering her to serve time in jail for failing to pay outstanding traffic tickets.[SENTMARKER]The defendants agreed to a stay of incarceration and the collection of outstanding debts pending discovery in this matter.[SENTMARKER]The parties also agreed to provide the court with a form that solicits relevant financial information and the court will provide counsel at each compliance hearing."
2,"A prisoner facing the death penalty in Arkansas sued over the form of lethal injection used by the state.[SENTMARKER]The case was dismissed because of a lack of evidence that Arkansas's use of lethal injections subjected prisoners to a significant risk of pain.[SENTMARKER]The case is closed, and one of the three plaintiffs was executed in 2017.","This is a civil rights lawsuit brought by three Arkansas prisoners who were convicted of capital murder and sentenced to death.[SENTMARKER]The prisoners challenged the Arkansas Department of Correction’s lethal injection protocol for lethal injection.[SENTMARKER]They alleged that the protocol was unconstitutional in violation of the Eighth Amendment’s ban on cruel and unusual punishment.[SENTMARKER]The defendants moved to dismiss the action, and that Motion was denied by this Court on June 19, 2006.[SENTMARKER]The district court denied the defendants’ motion for summary judgment without prejudice and stayed and administratively terminated this case pending the outcome in Baze v. Norris, a case that the Supreme Court upheld in April 2008.[SENTMARKER]The parties referred to the set of execution instructions he has developed and revised as the Arkansas lethal injection protocols.","In May 2006, three Arkansas death row inmates filed a lawsuit in the U.S. District Court for the District of Arkansas challenging the state's three-chemical lethal injection protocol.[SENTMARKER]The plaintiffs alleged that the protocol creates a significant risk of inflicting severe pain in the administration of the death sentence, and that the State's use of this protocol deliberated in violation of the Eighth Amendment's ban on cruel and unusual punishment.[SENTMARKER]In June of 2007, the United States Court of Appeals for the Eighth Circuit upheld Missouri’s protocol in response to a challenge by Missouri prisoners raising claims nearly identical to the ones in the instant suit.[SENTMARKER]The defendants had to date not produced any documents or answered any interrogatories, which Defendants have now had for eighteen days.[SENTMARKER]The court granted summary judgment in favor of the defendants."
3,"On August 23, 2018, three Maricopa County, Arizona residents who have been referred to Maricopa County's Marijuana Diversion program filed this class action lawsuit in the U.S. District Court for the District of Arizona, Phoenix Division.[SENTMARKER]The plaintiffs sought injunctive and monetary relief, claiming that the Maricopa County Attorney's Office and Treatment Assessment Screening Center jointly operated a marijuana possession diversion program that discriminated against the poor in violation of the Fourteenth Amendment, and led to unreasonable search and seizure in violation of the Fourth and Fourteenth Amendments.[SENTMARKER]The plaintiffs amended their complaint twice to include new named plaintiffs for the class.[SENTMARKER]The District Court denied the defendant's motions to dismiss the complaint, and discovery is ongoing both for class certification and the underlying claims.","In a class-action lawsuit filed in the U.S. District Court for the District of Arizona, the plaintiffs alleged that the defendants violated the plaintiffs' constitutional rights by imposing unconstitutional penalties on them based solely on their wealth.[SENTMARKER]The plaintiffs' counsel are experienced in civil rights litigation and have successfully litigated a number of civil rights class action cases.[SENTMARKER]The case is now closed.","On August 23, 2018, a group of residents of Maricopa County, Arizona filed a class action lawsuit against the defendants in the United States District Court for the District of Arizona.[SENTMARKER]The plaintiffs alleged that the defendants violated the Fourteenth and Fourteenth Amendments by denying them entry into the MCAO and TASC marijuana diversion programs and by failing to pay the required program fees within 90 days and/or at the rate required by TASC.[SENTMARKER]The court denied the defendants' motion to dismiss, finding that the plaintiffs had not shown that they could prove a set of facts which would entitle them to relief.[SENTMARKER]The case is now closed."
4,"On March 8, 2006, the Pacific News Service filed a lawsuit under 42 U.S.C. § 1983 against the California Department of Corrections in the U.S. District Court for the Northern District of California.[SENTMARKER]The plaintiffs asked the court for declaratory and injunctive relief, alleging that the defendants had violated the constitutional rights of the press and the public to attend, meaningfully observe, and gather and report on important information at executions being carried out by the defendants at the California State Prison at San Quentin.[SENTMARKER]On May 30, 2013, the issue in this case became moot due to a state court decision.[SENTMARKER]In Sims v. California Department of Corrections and Rehabilitation (CDCR), the California Court of Appeals held that CDCR’s lethal injection regulations were invalid for failure to comply with the APA.[SENTMARKER]The court permanently enjoined CDCR from carrying out the execution of any condemned inmate by lethal injection until their new regulations complied with the Administrative Procedure Act.[SENTMARKER]This case closed after a voluntary dismissal filed by the plaintiff organization.","On December 11, 2006, Pacific News Service filed this suit in the U.N.[SENTMARKER]District District Court for the Northern District of California against the California Department of Corrections and Rehabilitation.[SENTMARKER]The suit alleged that San Quentin's lethal injection protocol violated the First Amendment right of the press and the public to attend, meanngfully witness, gather important information at, and report on executions.[SENTMARKER]On March 16, 2006, the court dismissed the case.","In January 2006, a San Francisco-based news organization filed this suit against the California State Prison at San Quentin.[SENTMARKER]The suit alleged that the state's lethal injection protocol violated the First and Fourteenth Amendments of the United States Constitution.[SENTMARKER]Specifically, the suit claimed that the three-drug combination of sodium thiopental, short-acting barbituate, and pancuronium bromide would cause the inmate to be unconscious and therefore unable to expenence pain.[SENTMARKER]In February 2012, the court entered a judgment in favor of the state, enjoining the state from using the lethal injection method.[SENTMARKER]The case is now closed."
5,"This civil rights class action was filed in 2012 in the Eastern District of California; it alleged due process violations when the state arbitrarily denied parole to nearly all lifers who had served their minimum sentence.[SENTMARKER]On October 2, 2015, the parties entered into an agreement by which the defendants agreed to make changes to the psychological risk assessment processes used by the parole board.[SENTMARKER]The Court approved the settlement in May 2016, and retained jurisdiction over the case until January 1, 2017, with the plaintiffs' able to get an extension of the Court's jurisdiction if the defendants fail to abide by the agreed upon terms.[SENTMARKER]In February of 2019, the court issued an order stating that the defendants had complied with the order.[SENTMARKER]The case is now closed.","On April 20, 2012, a prisoner in California's San Quentin State Prison filed this class action lawsuit against the State of California and the Board of parole hearing for the use of psychological evaluations to determine the suitability of 26 class members for parole.[SENTMARKER]The plaintiffs alleged that the Board's forensic assessment protocols violated the Constitution of the United States and the Fourteenth Amendment to the Constitution.[SENTMARKER]The parties reached a settlement on June 12, 2015.[SENTMARKER]The parties have jointly moved the court to approve the settlement agreement, 18 which was reached after ""extensive arms-length negotiation.""","On April 20, 2012, a class action lawsuit was filed in the United States District Court for the Eastern district of California on behalf of California state prisoners who were serving life sentences and were eligible for parole consideration after having served their minimum terms.[SENTMARKER]The plaintiffs alleged that the state's Forensic Assessment Division (FAD) violated the due process and equal protection clauses of the state and federal Constitutions by failing to adequately evaluate the suitability of life inmates for parole.[SENTMARKER]The parties agreed to a settlement in April 2016, which was approved by the court on May 26, 2016.[SENTMARKER]The parties disagree about the reliability of the tools for use with California’s life 26 inmate population.[SENTMARKER]The court granted the parties' motion for final approval of the settlement in May 2016."
6,"In October 2018, a plaintiff sued Denver over its bond fee requirement.[SENTMARKER]Within a few months, the defendants changed their policy and submitted an Offer of Judgment.[SENTMARKER]The case is now closed.","In August 2018, a Denver County resident was arrested for violating the terms of his pretrial release by failing to pay a $50 bond fee.[SENTMARKER]The resident filed this civil rights action in the United States District Court for the district of Colorado.[SENTMARKER]The complaint alleged that the defendant was denied pretrial liberty because he was unable to pay the bond.[SENTMARKER]The court dismissed the case, but Denver continued to collect the bond fee from the defendant.[SENTMARKER]The case was dismissed on September 10, 2018.[SENTMARKER]The court granted the defendant's motion for summary judgment, and the case was closed.","On October 10, 2018, the ACLU of Colorado filed this lawsuit in the United States District Court for the District of Colorado against the City of Denver and the Denver County in connection with the city's bond fee policy.[SENTMARKER]The complaint alleged that Denver's policy of taking defendants' money as a booking fee, without exception, at the time of booking was unconstitutional.[SENTMARKER]The court granted the plaintiff's motion for summary judgment and ordered the city to pay the plaintiff in full.[SENTMARKER]The case is now closed."
7,"In 2012, U.S. District Court of D.C. found that the policy of seizing and retaining private vehicles pending civil forfeiture proceedings without providing a post-deprivation hearing was unconstitutional.","On May 1, 2012, a man filed this suit against the District of Washington in the District Court of Columbia, alleging that the District's policy that forces indigent property owners to pay a ""penal sum"" before even being able to commence the legal process to challenge the police seizure of their property violates his right to due process under the Fifth Amendment to the United States Constitution.[SENTMARKER]The court granted the plaintiff's motion for a preliminary injunction.[SENTMARKER]The parties agreed to dismiss this action with prejudice, and each party will bear its own costs and attorneys' fees.","On December 21, 2014, a man filed this suit in the U.S. District Court for the District of Washington against the D.[SENTMARKER]C. Police Department, the Chief of Police, and the Mayor of the District for their unconstitutional policy of seizing private vehicles and retaining them indefinitely pending potential civil forfeiture proceedings, without providing property owners with a prompt, post-deprivation hearing before a neutral arbiter.[SENTMARKER]The court found that neither delay violated the property owners’ constitutional rights.[SENTMARKER]The Supreme Court, however, found that the due process rights were analogous to ""a defendant's right to a speedy trial once an indictment or other process has issued"" and that the claimant's speedy trial rights did not apply to elective remission proceedings."
8,"On May 23, 2018, four individuals who had been ticketed or threatened to be ticketed by the City of Doraville filed this lawsuit in U.S. District Court for the Northern District of Georgia.[SENTMARKER]The case was assigned to Judge Richard W. Story.[SENTMARKER]Represented by Strickland Brockington Lewis, LLP, and the Institute for Justice, the plaintiffs sued the City of Doraville under 42 U.S.C. Section 1983 and the Declaratory Judgments Act.[SENTMARKER]The plaintiffs alleged that the city’s policy and practice of using its law enforcement and municipal court system for revenue generation violated the plaintiffs' due process rights.[SENTMARKER]The plaintiffs sought declarative and injunctive relief from Doraville’s policy and practice of budgeting to receive revenues from fines and fees.[SENTMARKER]The defendant sought to dismiss the case on July 2, 2018; the court denied the motion to dismiss on July 9, 2019.[SENTMARKER]This case is ongoing.","On April 1, 1983, a group of citizens filed this lawsuit in the U.N.[SENTMARKER]District District Court for the Northern district of Georgia against the City, alleging that the City's practice of including projected revenue from fines, fees, and forfeitures in its municipal budget violated their due process rights under the Fourteenth Amendment.[SENTMARKER]The plaintiffs alleged that by relying on its municipal courts, prosecutors, and law enforcement officers to generate revenue, Doraville has created impermissible financial incentives for those civil servants, thus violating the Due Process Clause.[SENTMARKER]The Court denied Doraville's motion to dismiss, finding that the Court lacked subject matter jurisdiction and that the plaintiffs failed to state a claim as a matter of law.[SENTMARKER]On June 4, 2019, the Court granted the plaintiffs' motion to reconsider and granted the parties' supplemental briefing.","On July 6, 2018, a group of citizens filed a lawsuit in the U.N.[SENTMARKER]district court for the Northern district of Georgia, alleging that the city's policy and practice of budgeting for fines, fees, and forfeitures revenue, and vigorously ticketing and convicting both residents and passers-through in order to raise revenue, is unconstitutional.[SENTMARKER]The plaintiffs alleged that by relying on its municipal courts, prosecutors, and law enforcement officers to generate revenue, Doraville has created impermissible financial incentives for those civil servants, thus violating the Due Process Clause of the Fourteenth Amendment.[SENTMARKER]The case is now before the Court on Doraville’s Motion to Dismiss [15], and the plaintiffs have until July 30 to respond."
9,"On May 22, 2012, several national and local news agencies filed a § 1983 lawsuit against the state of Idaho, alleging that the policy of the Idaho Department of Correction to prohibit public viewing of the preparatory phase of the execution process, during which the inmate is restrained and the IV is inserted, violates the First Amendment right to free speech and the Fourteenth Amendment right to due process.[SENTMARKER]The District Court denied plaintiffs' motion for a preliminary injunction on June 5, 2012, but the Ninth Circuit reversed the denial, on June 8, in time for the injunction to apply to the scheduled execution of Richard Leavitt.[SENTMARKER]On July 10, the District Court entered a permanent injunction ordering the Idaho Department of Corrections to modify their execution procedures to allow witnesses to the execution throughout the entire execution process.","On May 22, 2012, a group of media outlets filed a lawsuit in the U.N.[SENTMARKER]district court for the district of Idaho seeking a preliminary injunction, a permanent injunction, and declaratory relief in response to alleged First Amendment violations by the State of Idaho via the procedures or protocol used by the IDOC for death penalty executions.[SENTMARKER]The defendants filed their response to the motion on May 29, 2012.[SENTMARKER]The parties entered into a Stipulation which requested that a temporary injunction be entered by the Court.[SENTMARKER]The Court granted the request for expedited briefing and ordered the parties to participate in mediation with Chief United States Magistrate Judge Candy W Dale.[SENTMARKER]The mediation was unsuccessful.[SENTMARKER]The case was dismissed on July 10.","On June 12, 2012, a group of Idaho death row inmates filed a lawsuit against the Idaho Department Of Corrections (IDOC) seeking a preliminary injunction, a permanent injunction, and declaratory relief in response to alleged First Amendment violations by the IDOC via the procedures or protocol used by IDOC for death penalty executions.[SENTMARKER]The plaintiffs alleged that the procedures prevented the public, members of the media, and other witnesses from viewing the entirety of the execution process prior to actual administration of the lethal injection.[SENTMARKER]The court granted the parties' motion for expedited briefing and ordered the parties to participate in mediation with Chief United States Magistrate Judge Candy W Dale.[SENTMARKER]The parties agreed to a temporary injunction on June 12, 2012.[SENTMARKER]The parties also agreed to modify their procedures to allow the witnesses to the execution view the execution from the time the inmate enters the execution chamber through to and including, the time he is declared dead."
